"tool","indicatortype","value"
"zerotier","domain",".zerotier.com"
"itsupport247 (connectwise)","domain",".itsupport247.net"
"kabuto","domain",".kabuto.io"
"kabuto","domain","repairtechsolutions.com/kabuto/"
"ericom connect","domain","ericom.com"
"itsupport247 (connectwise)","domain","itsupport247.net"
"remoteview","domain","content.rview.com"
"remoteview","domain",".rview.com"
"remoteview","domain","content.rview.com"
"laplink gold","domain","web.laplink.com/product/laplink-gold"
"anyviewer","domain",".anyviewer.com"
"anyviewer","domain",".aomeisoftware.com"
"netop remote control (aka impero connect)","domain","imperosoftware.com/impero-connect/"
"tanium deploy","domain","tanium.com/products/tanium-deploy"
"teamviewer","process","teamviewerqs.exe"
"teamviewer","process","tv_w32.exe"
"teamviewer","process","tv_w64.exe"
"teamviewer","process","tv_x64.exe"
"teamviewer","process","teamviewer.exe"
"teamviewer","process","teamviewer_service.exe"
"teamviewer","domain",".teamviewer.com"
"teamviewer","domain","router15.teamviewer.com"
"teamviewer","domain","client.teamviewer.com"
"teamviewer","domain","taf.teamviewer.com"
"distant desktop","domain",".distantdesktop.com"
"distant desktop","domain","signalserver.xyz"
"bluetrait","process","bluetrait msp agent.exe"
"bluetrait","process","bluetraituseragent.exe"
"bluetrait","process","paexec.exe"
"bluetrait","domain","bluetrait.io"
"bluetrait","domain",".bluetrait.io"
"site24x7","domain",".site24x7.com"
"site24x7","domain","site24x7.eu"
"site24x7","domain","site24x7.in"
"site24x7","domain","site24x7.cn"
"site24x7","domain","site24x7.net.au"
"site24x7","domain","site24x7.com/msp"
"nvda (non-visual desktop access)","process","nvda.exe"
"nvda (non-visual desktop access)","domain","nvaccess.org"
"nvda (non-visual desktop access)","domain",".nvaccess.org"
"gotohttp","domain",".gotohttp.com"
"gotohttp","domain","gotohttp.com"
"atera","process","ateraagent.exe"
"atera","process","alphaagent.exe"
"atera","process","agentpackagestremote.exe"
"atera","process","agentpackagemonitoring.exe"
"atera","process","agentpackageheartbeat.exe"
"atera","process","agentpackagefileexplorer.exe"
"atera","process","agentpackageruncommandinteractive.exe"
"atera","domain","pubsub.atera.com"
"atera","domain","pubsub.pubnub.com"
"atera","domain","agentreporting.atera.com"
"atera","domain","getalphacontrol.com"
"atera","domain","app.atera.com"
"atera","domain","agenthb.atera.com"
"atera","domain","packagesstore.blob.core.windows.net"
"atera","domain","ps.pndsn.com"
"atera","domain","agent-api.atera.com"
"atera","domain","agentreportingstore.blob.core.windows.net"
"atera","domain","atera-agent-heartbeat.servicebus.windows.net"
"atera","domain","ps.atera.com"
"atera","domain","atera.pubnubapi.com"
"atera","domain","appcdn.atera.com"
"centrastage (now datto)","domain",".rmm.datto.com"
"centrastage (now datto)","domain","cc.centrastage.net"
"centrastage (now datto)","domain","datto.com/au/products/rmm/"
"showmypc","domain",".showmypc.com"
"showmypc","domain","showmypc.com"
